model_id,model_make_id,model_name,model_trim,model_year,model_make_display_name
44328,acura,MDX,,2011,Acura
44331,acura,RDX,,2011,Acura
44332,acura,RDX,SH-AWD,2011,Acura
44334,acura,RL,,2011,Acura
44337,acura,TL,,2011,Acura
44338,acura,TL,SH-AWD,2011,Acura
44340,acura,TSX,,2011,Acura
44342,acura,ZDX,,2011,Acura
44349,aston-martin,DB9,,2011,Aston Martin
44350,aston-martin,DB9,Volante,2011,Aston Martin
44353,aston-martin,DBS,,2011,Aston Martin
44354,aston-martin,DBS,Volante,2011,Aston Martin
44356,aston-martin,Rapide,,2011,Aston Martin
44357,aston-martin,V12 Vantage,,2011,Aston Martin
44358,aston-martin,V12 Vantage,Carbon Black,2011,Aston Martin
44361,aston-martin,V8 Vantage,,2011,Aston Martin
44362,aston-martin,V8 Vantage,N420,2011,Aston Martin
44363,aston-martin,V8 Vantage,Roadster,2011,Aston Martin
44364,aston-martin,V8 Vantage,N420 Roadster,2011,Aston Martin
44365,aston-martin,V8 Vantage,S,2011,Aston Martin
44366,aston-martin,V8 Vantage,S Roadster,2011,Aston Martin
44367,aston-martin,Virage,,2011,Aston Martin
44368,aston-martin,Virage,Volante,2011,Aston Martin
44373,audi,A3,2.0T Premium,2011,Audi
44374,audi,A3,2.0T PZEV Premium,2011,Audi
44375,audi,A3,2.0 TDI Premium,2011,Audi
44376,audi,A3,2.0T Premium Quattro,2011,Audi
44380,audi,A4,2.0T Premium,2011,Audi
44381,audi,A4,2.0T Premium Quattro,2011,Audi
44382,audi,A4,2.0T Avant Premium Quattro,2011,Audi
44386,audi,A5,2.0T Premium Quattro,2011,Audi
44387,audi,A5,2.0T Premium,2011,Audi
44392,audi,A6,3.2 Premium,2011,Audi
44393,audi,A6,3.0T Premium Quattro,2011,Audi
44394,audi,A6,4.2 Prestige Quattro,2011,Audi
44395,audi,A6,3.0T Avant Premium Quattro,2011,Audi
44398,audi,A8,4.2 Quattro,2011,Audi
44399,audi,A8,L 4.2 Quattro,2011,Audi
44401,audi,Q5,2.0T Premium Quattro,2011,Audi
44402,audi,Q5,3.2 Premium Plus Quattro,2011,Audi
44406,audi,Q7,3.0T Premium Quattro,2011,Audi
44407,audi,Q7,TDI Premium Quattro,2011,Audi
44408,audi,Q7,3.0T S line Prestige Quattro,2011,Audi
44411,audi,R8,4.2 Quattro,2011,Audi
44412,audi,R8,5.2 Quattro,2011,Audi
44413,audi,R8,4.2 Quattro Spyder,2011,Audi
44414,audi,R8,5.2 Quattro Spyder,2011,Audi
44416,audi,S4,Premium Plus Quattro,2011,Audi
44419,audi,S5,Premium Plus Quattro,2011,Audi
44420,audi,S5,3.0T Premium Plus Quattro,2011,Audi
44422,audi,S6,Prestige Quattro,2011,Audi
44424,audi,TT,2.0T Premium Plus Quattro,2011,Audi
44426,audi,TTS,Premium Plus Quattro,2011,Audi
